시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동
부산광역시 부산진구 개금동,523-37,523,37,세르빌,월세,16.72,202603,"4,500",2,5,2012,부산광역시,부산진구,개금동
부산광역시 남구 대연동,1283-38,1283,38,더아이원,월세,13.1275,202603,500,34,3,2019,부산광역시,남구,대연동
부산광역시 부산진구 전포동,355-14,355,14,베니스,월세,15.105,202603,"1,000",40,4,2019,부산광역시,부산진구,전포동
부산광역시 부산진구 전포동,373-17,373,17,블루빌,월세,17.66,202603,500,33,2,2013,부산광역시,부산진구,전포동
부산광역시 부산진구 전포동,340-16,340,16,누보빌,월세,13.97,202603,500,31,7,2012,부산광역시,부산진구,전포동
부산광역시 중구 대청동4가,91-1,91,1,더휴,월세,20.7,202603,"1,000",28,5,2014,부산광역시,중구,대청동4가
부산광역시 수영구 망미동,391-7,391,7,리안느,전세,21.89,202603,"7,000",0,3,2022,부산광역시,수영구,망미동
부산광역시 수영구 광안동,536-17,536,17,KDDomus,전세,27.15,202603,"13,495",0,2,2019,부산광역시,수영구,광안동
부산광역시 수영구 광안동,90-46,90,46,청목구름처럼,월세,14.17,202603,300,35,2,2013,부산광역시,수영구,광안동
부산광역시 수영구 수영동,459-9,459,9,웰컴하우스,월세,26.765,202603,"5,000",4,4,2012,부산광역시,수영구,수영동
부산광역시 사상구 주례동,55-152,55,152,씨엔씨타운,월세,11.52,202603,100,23,2,2001,부산광역시,사상구,주례동
부산광역시 수영구 광안동,101-20,101,20,넘버원빌,월세,17.37,202603,300,17,5,2011,부산광역시,수영구,광안동
부산광역시 동구 초량동,1054-1,1054,1,청용골든빌,월세,18.07,202603,300,33,3,2012,부산광역시,동구,초량동
부산광역시 서구 동대신동3가,13-20,13,20,골드캐슬,월세,16.58,202603,"1,900",32,2,2011,부산광역시,서구,동대신동3가
부산광역시 남구 대연동,987-52,987,52,시드니캐슬,월세,16.2975,202603,500,43,3,2017,부산광역시,남구,대연동
부산광역시 금정구 장전동,26-3,26,3,무지개,월세,21.63,202603,"1,000",36,3,2013,부산광역시,금정구,장전동
부산광역시 동래구 온천동,1380-14,1380,14,더베스아이,월세,14.42,202603,500,30,3,2016,부산광역시,동래구,온천동
부산광역시 북구 덕천동,429-14,429,14,다원빌,월세,26.95,202603,500,37,3,2013,부산광역시,북구,덕천동
부산광역시 중구 보수동3가,71-8,71,8,일강빌,월세,14.65,202603,300,40,2,2014,부산광역시,중구,보수동3가
부산광역시 북구 덕천동,422-3,422,3,제니스빌,월세,13.2672,202603,"1,000",30,2,2019,부산광역시,북구,덕천동
부산광역시 동래구 명륜동,512-1,512,1,골든빌,월세,18.52,202603,500,35,2,2013,부산광역시,동래구,명륜동
부산광역시 연제구 연산동,731-5,731,5,라움,월세,17.56,202603,"1,000",40,13,2019,부산광역시,연제구,연산동
부산광역시 연제구 연산동,1255-28,1255,28,(1255-28),월세,18.47,202603,500,43,2,2014,부산광역시,연제구,연산동
부산광역시 연제구 연산동,1498-20,1498,20,마이빌,월세,17.13,202603,"2,000",29,3,2012,부산광역시,연제구,연산동
부산광역시 수영구 광안동,177-9,177,9,트라움하우스17차,전세,16.22,202603,"7,000",0,3,2018,부산광역시,수영구,광안동
