역명,위도,경도,호선
노포역,35.2835941,129.0948166,1호선
범어사역,35.2732401,129.0926403,1호선
남산역,35.2651717,129.0924529,1호선
두실역,35.2570592,129.0913932,1호선
구서역,35.2472882,129.0913018,1호선
장전역,35.2380252,129.0881231,1호선
부산대역,35.2297715,129.0893564,1호선
온천장역,35.2202836,129.0863989,1호선
명륜역,35.2125393,129.0796555,1호선
동래역,35.2055969,129.0784712,1호선
교대역,35.1955928,129.0799855,1호선
동래역,35.2047979,129.0771395,4호선
연산역,35.1861709,129.0815627,1호선
교대역,35.1937434,129.0795022,동해선
수안역,35.201771,129.0838796,4호선
미남역,35.2070982,129.0691677,4호선
시청역,35.1798124,129.0766512,1호선
연산역,35.1858718,129.081858,3호선
동래역,35.1972154,129.0912866,동해선
거제역,35.1896461,129.0743669,동해선
낙민역,35.2001953,129.0909072,4호선
미남역,35.2054332,129.0680191,3호선
양정역,35.1731283,129.0713293,1호선
거제역,35.1885603,129.0738787,3호선
물만골역,35.1764706,129.0858474,3호선
안락역,35.1960282,129.1006169,동해선
거제해맞이역,35.1812629,129.0690216,동해선
충렬사역,35.1998624,129.0976121,4호선
만덕역,35.2129761,129.0363748,3호선
사직역,35.1985838,129.0651954,3호선
부전역,35.1625392,129.0629534,1호선
종합운동장역,35.1911044,129.0677388,3호선
배산역,35.1735061,129.0954981,3호선
부산원동역,35.1936164,129.114302,동해선
부전역,35.1645283,129.0601537,동해선
명장역,35.2051807,129.1017177,4호선
남산정역,35.2133311,129.0239997,3호선
서면역,35.1580979,129.0593853,1호선
망미역,35.1715665,129.1081299,3호선
재송역,35.1880829,129.1200713,동해선
서동역,35.2131611,129.1075182,4호선
숙등역,35.2121115,129.0132983,3호선
범내골역,35.1473273,129.0592593,1호선
서면역,35.1576666,129.0586482,2호선
수영역,35.1679099,129.114363,3호선
센텀역,35.1794953,129.1245441,동해선
금사역,35.2157853,129.1151423,4호선
덕천역,35.2102045,129.0056607,3호선
범일역,35.1408137,129.0593516,1호선
부암역,35.1574479,129.0504394,2호선
전포역,35.1530796,129.0653717,2호선
수영역,35.1654747,129.1147596,2호선
벡스코역,35.171586,129.1361069,동해선
반여농산물시장역,35.2177299,129.123993,4호선
구포역,35.2067292,128.9964116,3호선
덕천역,35.2108728,129.0050679,2호선
좌천역,35.1345051,129.0545565,1호선
가야역,35.1559062,129.0431287,2호선
국제금융센터.부산은행역,35.1459695,129.0667576,2호선
광안역,35.157912,129.1131472,2호선
민락역,35.1671912,129.1219407,2호선
신해운대역,35.1817128,129.1770069,동해선
벡스코역,35.1691434,129.1384494,2호선
석대역,35.2181498,129.1369934,4호선
강서구청역,35.2112378,128.9820012,3호선
수정역,35.223314,129.0091671,2호선
구명역,35.2027873,128.9995269,2호선
부산진역,35.1277308,129.0478223,1호선
동의대역,35.1539777,129.0320804,2호선
문현역,35.1391053,129.0673549,2호선
금련산역,35.1498627,129.1109862,2호선
센텀시티역,35.1689005,129.131637,2호선
송정역,35.187695,129.2020638,동해선
동백역,35.1614518,129.1479191,2호선
영산대역,35.2256975,129.1461755,4호선
체육공원역,35.2125107,128.9695248,3호선
화명역,35.2356026,129.0138901,2호선
구남역,35.1968269,128.9949531,2호선
초량역,35.1209062,129.0428303,1호선
개금역,35.1533091,129.0204024,2호선
지게골역,35.1355907,129.07443,2호선
남천역,35.1419208,129.1077454,2호선
오시리아역,35.1962557,129.2082915,동해선
해운대역,35.1635895,129.1587875,2호선
윗반송역,35.2324657,129.1538461,4호선
대저역,35.2133558,128.9610764,3호선
율리역,35.2461209,129.0128853,2호선
모라역,35.1896675,128.9886559,2호선
부산역,35.1144954,129.0393247,1호선
