법정동코드,법정동명,폐지여부
2100000000,부산직할시,폐지
2111000000,부산직할시 중구,폐지
2111000100,부산직할시 중구 대교로1가,폐지
2111000200,부산직할시 중구 대교로2가,폐지
2111000300,부산직할시 중구 복병동,폐지
2111000400,부산직할시 중구 충무로1가,폐지
2111000500,부산직할시 중구 충무로2가,폐지
2111000600,부산직할시 중구 충무로3가,폐지
2111010100,부산직할시 중구 영주동,폐지
2111010200,부산직할시 중구 대창동1가,폐지
2111010300,부산직할시 중구 대창동2가,폐지
2111010400,부산직할시 중구 중앙동1가,폐지
2111010500,부산직할시 중구 중앙동2가,폐지
2111010600,부산직할시 중구 중앙동3가,폐지
2111010700,부산직할시 중구 중앙동4가,폐지
2111010800,부산직할시 중구 중앙동5가,폐지
2111010900,부산직할시 중구 중앙동6가,폐지
2111011000,부산직할시 중구 중앙동7가,폐지
2111011100,부산직할시 중구 동광동1가,폐지
2111011200,부산직할시 중구 동광동2가,폐지
2111011300,부산직할시 중구 동광동3가,폐지
2111011400,부산직할시 중구 동광동4가,폐지
2111011500,부산직할시 중구 동광동5가,폐지
2111011600,부산직할시 중구 대청동1가,폐지
2111011700,부산직할시 중구 대청동2가,폐지
2111011800,부산직할시 중구 대청동3가,폐지
2111011900,부산직할시 중구 대청동4가,폐지
2111012000,부산직할시 중구 보수동1가,폐지
2111012100,부산직할시 중구 보수동2가,폐지
2111012200,부산직할시 중구 보수동3가,폐지
2111012300,부산직할시 중구 부평동1가,폐지
2111012400,부산직할시 중구 부평동2가,폐지
2111012500,부산직할시 중구 부평동3가,폐지
2111012600,부산직할시 중구 부평동4가,폐지
2111012700,부산직할시 중구 신창동1가,폐지
2111012800,부산직할시 중구 신창동2가,폐지
2111012900,부산직할시 중구 신창동3가,폐지
2111013000,부산직할시 중구 신창동4가,폐지
2111013100,부산직할시 중구 창선동1가,폐지
2111013200,부산직할시 중구 창선동2가,폐지
2111013300,부산직할시 중구 광복동1가,폐지
2111013400,부산직할시 중구 광복동2가,폐지
2111013500,부산직할시 중구 광복동3가,폐지
2111013600,부산직할시 중구 남포동1가,폐지
2111013700,부산직할시 중구 남포동2가,폐지
2111013800,부산직할시 중구 남포동3가,폐지
2111013900,부산직할시 중구 남포동4가,폐지
2111014000,부산직할시 중구 남포동5가,폐지
2111014100,부산직할시 중구 남포동6가,폐지
2111090100,부산직할시 중구 보수1동,폐지
2111090200,부산직할시 중구 보수2동,폐지
2111090300,부산직할시 중구 영주1동,폐지
2111090400,부산직할시 중구 영주2동,폐지
2114000000,부산직할시 서구,폐지
2114000100,부산직할시 서구 괴정동,폐지
2114000200,부산직할시 서구 당리동,폐지
2114000300,부산직할시 서구 하단동,폐지
2114000400,부산직할시 서구 신평동,폐지
2114000500,부산직할시 서구 장림동,폐지
2114000600,부산직할시 서구 다대동,폐지
2114000700,부산직할시 서구 구평동,폐지
2114000800,부산직할시 서구 감천동,폐지
2114000900,부산직할시 서구 충무로4가,폐지
2114001000,부산직할시 서구 충무로5가,폐지
2114001100,부산직할시 서구 초장동1가,폐지
2114001200,부산직할시 서구 초장동2가,폐지
2114001300,부산직할시 서구 초장동3가,폐지
2114001400,부산직할시 서구 완월동1가,폐지
2114001500,부산직할시 서구 완월동2가,폐지
2114010100,부산직할시 서구 동대신동1가,폐지
2114010200,부산직할시 서구 동대신동2가,폐지
2114010300,부산직할시 서구 동대신동3가,폐지
2114010400,부산직할시 서구 서대신동1가,폐지
2114010500,부산직할시 서구 서대신동2가,폐지
2114010600,부산직할시 서구 서대신동3가,폐지
2114010700,부산직할시 서구 부용동1가,폐지
2114010800,부산직할시 서구 부용동2가,폐지
2114010900,부산직할시 서구 부민동1가,폐지
2114011000,부산직할시 서구 부민동2가,폐지
2114011100,부산직할시 서구 부민동3가,폐지
2114011200,부산직할시 서구 토성동1가,폐지
2114011300,부산직할시 서구 토성동2가,폐지
2114011400,부산직할시 서구 토성동3가,폐지
2114011500,부산직할시 서구 아미동1가,폐지
2114011600,부산직할시 서구 아미동2가,폐지
2114011700,부산직할시 서구 토성동4가,폐지
2114011800,부산직할시 서구 토성동5가,폐지
2114011900,부산직할시 서구 초장동,폐지
2114012000,부산직할시 서구 충무동1가,폐지
2114012100,부산직할시 서구 충무동2가,폐지
2114012200,부산직할시 서구 충무동3가,폐지
2114012300,부산직할시 서구 남부민동,폐지
2114012400,부산직할시 서구 암남동,폐지
2114090100,부산직할시 서구 남부민1동,폐지
2114090200,부산직할시 서구 남부민2동,폐지
2114090300,부산직할시 서구 남부민3동,폐지
2117000000,부산직할시 동구,폐지
