시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동,산여부,법정동코드,PNU,경도,위도,좌표조회방식,좌표조회에러
부산광역시 부산진구 개금동,523-37,523,37,세르빌,월세,16.72,202603,"4,500",2,5,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100005230037,129.02090436553516,35.15145746145758,parcel_address,VWorld API error: NOT_FOUND
부산광역시 남구 대연동,1283-38,1283,38,더아이원,월세,13.1275,202603,500,34,3,2019,부산광역시,남구,대연동,0,2629010600,2629010600012830038,129.0881909728238,35.136813426856136,parcel_address,VWorld API error: NOT_FOUND
부산광역시 부산진구 전포동,355-14,355,14,베니스,월세,15.105,202603,"1,000",40,4,2019,부산광역시,부산진구,전포동,0,2623010200,2623010200003550014,129.06685816274927,35.15297119453396,parcel_address,VWorld API error: NOT_FOUND
부산광역시 부산진구 전포동,373-17,373,17,블루빌,월세,17.66,202603,500,33,2,2013,부산광역시,부산진구,전포동,0,2623010200,2623010200003730017,129.06714898137298,35.149086220549414,parcel_address,VWorld API error: NOT_FOUND
부산광역시 부산진구 전포동,340-16,340,16,누보빌,월세,13.97,202603,500,31,7,2012,부산광역시,부산진구,전포동,0,2623010200,2623010200003400016,129.06625487914454,35.15411702781421,parcel_address,VWorld API error: NOT_FOUND
부산광역시 중구 대청동4가,91-1,91,1,더휴,월세,20.7,202603,"1,000",28,5,2014,부산광역시,중구,대청동4가,0,2611011900,2611011900000910001,129.03062655180386,35.103800824629644,parcel_address,VWorld API error: NOT_FOUND
부산광역시 수영구 망미동,391-7,391,7,리안느,전세,21.89,202603,"7,000",0,3,2022,부산광역시,수영구,망미동,0,2650010100,2650010100003910007,129.11340970480194,35.175403223025235,parcel_address,VWorld API error: NOT_FOUND
부산광역시 수영구 광안동,536-17,536,17,KDDomus,전세,27.15,202603,"13,495",0,2,2019,부산광역시,수영구,광안동,0,2650010400,2650010400005360017,129.11003049250797,35.16116560014632,parcel_address,VWorld API error: NOT_FOUND
부산광역시 수영구 광안동,90-46,90,46,청목구름처럼,월세,14.17,202603,300,35,2,2013,부산광역시,수영구,광안동,0,2650010400,2650010400000900046,129.11590886487357,35.16534609070123,parcel_address,VWorld API error: NOT_FOUND
부산광역시 수영구 수영동,459-9,459,9,웰컴하우스,월세,26.765,202603,"5,000",4,4,2012,부산광역시,수영구,수영동,0,2650010200,2650010200004590009,129.1114098931252,35.17089904738187,parcel_address,VWorld API error: NOT_FOUND
부산광역시 사상구 주례동,55-152,55,152,씨엔씨타운,월세,11.52,202603,100,23,2,2001,부산광역시,사상구,주례동,0,2653010600,2653010600000550152,129.01324928350726,35.15009241655984,parcel_address,VWorld API error: NOT_FOUND
