시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동,산여부,법정동코드,PNU
부산광역시 부산진구 개금동,523-37,0523,0037,세르빌,월세,16.72,202603,"4,500",2,5,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100005230037
부산광역시 남구 대연동,1283-38,1283,0038,더아이원,월세,13.1275,202603,500,34,3,2019,부산광역시,남구,대연동,0,2629010600,2629010600012830038
부산광역시 부산진구 전포동,355-14,0355,0014,베니스,월세,15.105,202603,"1,000",40,4,2019,부산광역시,부산진구,전포동,0,2623010200,2623010200003550014
부산광역시 부산진구 전포동,373-17,0373,0017,블루빌,월세,17.66,202603,500,33,2,2013,부산광역시,부산진구,전포동,0,2623010200,2623010200003730017
부산광역시 부산진구 전포동,340-16,0340,0016,누보빌,월세,13.97,202603,500,31,7,2012,부산광역시,부산진구,전포동,0,2623010200,2623010200003400016
부산광역시 중구 대청동4가,91-1,0091,0001,더휴,월세,20.7,202603,"1,000",28,5,2014,부산광역시,중구,대청동4가,0,2611011900,2611011900000910001
부산광역시 수영구 망미동,391-7,0391,0007,리안느,전세,21.89,202603,"7,000",0,3,2022,부산광역시,수영구,망미동,0,2650010100,2650010100003910007
부산광역시 수영구 광안동,536-17,0536,0017,KDDomus,전세,27.15,202603,"13,495",0,2,2019,부산광역시,수영구,광안동,0,2650010400,2650010400005360017
부산광역시 수영구 광안동,90-46,0090,0046,청목구름처럼,월세,14.17,202603,300,35,2,2013,부산광역시,수영구,광안동,0,2650010400,2650010400000900046
부산광역시 수영구 수영동,459-9,0459,0009,웰컴하우스,월세,26.765,202603,"5,000",4,4,2012,부산광역시,수영구,수영동,0,2650010200,2650010200004590009
부산광역시 사상구 주례동,55-152,0055,0152,씨엔씨타운,월세,11.52,202603,100,23,2,2001,부산광역시,사상구,주례동,0,2653010600,2653010600000550152
부산광역시 수영구 광안동,101-20,0101,0020,넘버원빌,월세,17.37,202603,300,17,5,2011,부산광역시,수영구,광안동,0,2650010400,2650010400001010020
부산광역시 동구 초량동,1054-1,1054,0001,청용골든빌,월세,18.07,202603,300,33,3,2012,부산광역시,동구,초량동,0,2617010100,2617010100010540001
부산광역시 서구 동대신동3가,13-20,0013,0020,골드캐슬,월세,16.58,202603,"1,900",32,2,2011,부산광역시,서구,동대신동3가,0,2614010300,2614010300000130020
부산광역시 남구 대연동,987-52,0987,0052,시드니캐슬,월세,16.2975,202603,500,43,3,2017,부산광역시,남구,대연동,0,2629010600,2629010600009870052
부산광역시 금정구 장전동,26-3,0026,0003,무지개,월세,21.63,202603,"1,000",36,3,2013,부산광역시,금정구,장전동,0,2641010800,2641010800000260003
부산광역시 동래구 온천동,1380-14,1380,0014,더베스아이,월세,14.42,202603,500,30,3,2016,부산광역시,동래구,온천동,0,2626010800,2626010800013800014
부산광역시 북구 덕천동,429-14,0429,0014,다원빌,월세,26.95,202603,500,37,3,2013,부산광역시,북구,덕천동,0,2632010400,2632010400004290014
부산광역시 중구 보수동3가,71-8,0071,0008,일강빌,월세,14.65,202603,300,40,2,2014,부산광역시,중구,보수동3가,0,2611012200,2611012200000710008
부산광역시 북구 덕천동,422-3,0422,0003,제니스빌,월세,13.2672,202603,"1,000",30,2,2019,부산광역시,북구,덕천동,0,2632010400,2632010400004220003
부산광역시 동래구 명륜동,512-1,0512,0001,골든빌,월세,18.52,202603,500,35,2,2013,부산광역시,동래구,명륜동,0,2626010700,2626010700005120001
부산광역시 연제구 연산동,731-5,0731,0005,라움,월세,17.56,202603,"1,000",40,13,2019,부산광역시,연제구,연산동,0,2647010200,2647010200007310005
부산광역시 연제구 연산동,1255-28,1255,0028,(1255-28),월세,18.47,202603,500,43,2,2014,부산광역시,연제구,연산동,0,2647010200,2647010200012550028
부산광역시 연제구 연산동,1498-20,1498,0020,마이빌,월세,17.13,202603,"2,000",29,3,2012,부산광역시,연제구,연산동,0,2647010200,2647010200014980020
부산광역시 수영구 광안동,177-9,0177,0009,트라움하우스17차,전세,16.22,202603,"7,000",0,3,2018,부산광역시,수영구,광안동,0,2650010400,2650010400001770009
부산광역시 수영구 광안동,103-41,0103,0041,명성콜렉트2,월세,24.345,202603,"10,000",2,2,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001030041
부산광역시 연제구 연산동,635-24,0635,0024,수림원룸,월세,17.37,202603,100,21,2,2002,부산광역시,연제구,연산동,0,2647010200,2647010200006350024
부산광역시 수영구 광안동,186-30,0186,0030,골드리치하우스,전세,20.74,202603,"5,000",0,5,2012,부산광역시,수영구,광안동,0,2650010400,2650010400001860030
부산광역시 수영구 광안동,120-167,0120,0167,지산하우스,월세,18.45,202603,500,31,3,2012,부산광역시,수영구,광안동,0,2650010400,2650010400001200167
부산광역시 수영구 광안동,103-16,0103,0016,명성콜렉트1,월세,16.585,202603,500,16,4,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001030016
부산광역시 연제구 연산동,867-31,0867,0031,이스타나빌,월세,20.66,202603,"4,000",25,2,2016,부산광역시,연제구,연산동,0,2647010200,2647010200008670031
부산광역시 사상구 주례동,74-46,0074,0046,동이빌,월세,10.8195,202603,"1,000",33,6,2018,부산광역시,사상구,주례동,0,2653010600,2653010600000740046
부산광역시 연제구 연산동,1405-25,1405,0025,하이트빌B동,월세,16.38,202603,300,40,3,2012,부산광역시,연제구,연산동,0,2647010200,2647010200014050025
부산광역시 남구 대연동,899-5,0899,0005,엘이즈디공오,월세,18.86,202603,"1,000",63,3,2021,부산광역시,남구,대연동,0,2629010600,2629010600008990005
부산광역시 남구 대연동,1758-18,1758,0018,더존하우스,월세,27.88,202603,"8,500",13,4,2013,부산광역시,남구,대연동,0,2629010600,2629010600017580018
부산광역시 남구 대연동,543-2,0543,0002,르씨엘대연,월세,12.53,202603,"11,000",10,3,2022,부산광역시,남구,대연동,0,2629010600,2629010600005430002
부산광역시 금정구 부곡동,308-32,0308,0032,그린빌,월세,17.33,202603,200,29,2,2011,부산광역시,금정구,부곡동,0,2641010900,2641010900003080032
부산광역시 서구 동대신동3가,13-13,0013,0013,구덕파크빌,월세,16.09,202603,500,35,2,2013,부산광역시,서구,동대신동3가,0,2614010300,2614010300000130013
부산광역시 중구 대청동4가,82-21,0082,0021,대청포세이돈아크로,월세,15.16,202603,"8,000",17,12,2020,부산광역시,중구,대청동4가,0,2611011900,2611011900000820021
부산광역시 서구 서대신동3가,61-17,0061,0017,동아드림파크,월세,28.94,202603,"1,000",30,4,2003,부산광역시,서구,서대신동3가,0,2614010600,2614010600000610017
부산광역시 부산진구 양정동,238-8,0238,0008,골든하우스,월세,17.0435,202603,300,29,4,2010,부산광역시,부산진구,양정동,0,2623010100,2623010100002380008
부산광역시 남구 용호동,486-40,0486,0040,파크블루12차,월세,16.99,202603,300,46,11,2024,부산광역시,남구,용호동,0,2629010700,2629010700004860040
부산광역시 동래구 명장동,57-26,0057,0026,칸타빌,월세,18.51,202603,500,35,2,2011,부산광역시,동래구,명장동,0,2626010100,2626010100000570026
부산광역시 부산진구 전포동,882-18,0882,0018,화수분,월세,20.46,202603,300,33,4,2012,부산광역시,부산진구,전포동,0,2623010200,2623010200008820018
부산광역시 부산진구 개금동,177-101,0177,0101,미즈디,월세,15.19,202603,150,42,3,2013,부산광역시,부산진구,개금동,0,2623011100,2623011100001770101
부산광역시 북구 구포동,413-12,0413,0012,센트럴시티,월세,13.6762,202603,300,30,3,2018,부산광역시,북구,구포동,0,2632010500,2632010500004130012
부산광역시 해운대구 재송동,1073-18,1073,0018,센텀스타빌,월세,29.7,202603,300,39,2,2012,부산광역시,해운대구,재송동,0,2635010400,2635010400010730018
부산광역시 서구 충무동2가,1-25,0001,0025,충무프라임빌,월세,14.465,202603,500,45,4,2016,부산광역시,서구,충무동2가,0,2614012100,2614012100000010025
부산광역시 부산진구 양정동,314-2,0314,0002,건아펜트하우스,월세,15.15,202603,500,39,9,2021,부산광역시,부산진구,양정동,0,2623010100,2623010100003140002
부산광역시 부산진구 양정동,138-7,0138,0007,정원스카이힐,월세,27.35,202603,"2,000",29,2,2013,부산광역시,부산진구,양정동,0,2623010100,2623010100001380007
부산광역시 동래구 온천동,1464-38,1464,0038,태성오피스텔,전세,21.37,202603,"10,000",0,7,2015,부산광역시,동래구,온천동,0,2626010800,2626010800014640038
부산광역시 부산진구 부전동,410-15,0410,0015,화이트빌A동,월세,15.74,202603,500,37,7,2012,부산광역시,부산진구,부전동,0,2623010300,2623010300004100015
부산광역시 부산진구 부전동,122-2,0122,0002,초이스,월세,17.61,202603,300,40,5,2010,부산광역시,부산진구,부전동,0,2623010300,2623010300001220002
부산광역시 부산진구 가야동,644-25,0644,0025,마이크로하우스,월세,13.6,202603,500,35,5,2012,부산광역시,부산진구,가야동,0,2623011000,2623011000006440025
부산광역시 부산진구 가야동,644-25,0644,0025,마이크로하우스,월세,13.6,202603,500,35,5,2012,부산광역시,부산진구,가야동,0,2623011000,2623011000006440025
부산광역시 중구 동광동5가,12-9,0012,0009,태양빌리지,월세,25.95,202603,500,20,3,2003,부산광역시,중구,동광동5가,0,2611011500,2611011500000120009
부산광역시 수영구 광안동,145-40,0145,0040,흑석그린파크,월세,16.2,202603,"3,000",22,3,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001450040
부산광역시 수영구 광안동,102-21,0102,0021,올리브하우스,월세,14.58,202603,500,39,4,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001020021
부산광역시 수영구 광안동,145-40,0145,0040,흑석그린파크,전세,24.27,202603,"10,000",0,3,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001450040
부산광역시 연제구 연산동,621-2,0621,0002,연제베스트빌,월세,18.55,202603,500,24,2,2012,부산광역시,연제구,연산동,0,2647010200,2647010200006210002
부산광역시 사상구 주례동,166-87,0166,0087,양지코쿤빌32차,월세,12.545,202603,300,24,4,2013,부산광역시,사상구,주례동,0,2653010600,2653010600001660087
부산광역시 수영구 광안동,102-24,0102,0024,카사엘,월세,25.61,202603,"8,000",2,4,2014,부산광역시,수영구,광안동,0,2650010400,2650010400001020024
부산광역시 수영구 광안동,102-28,0102,0028,햇살하우스,월세,17.82,202603,500,30,4,2010,부산광역시,수영구,광안동,0,2650010400,2650010400001020028
부산광역시 수영구 광안동,142-10,0142,0010,두성벨라지오,월세,25.39,202603,"1,000",56,5,2012,부산광역시,수영구,광안동,0,2650010400,2650010400001420010
부산광역시 수영구 광안동,659-8,0659,0008,센티움시티7차,월세,22.6666,202603,"1,000",65,10,2018,부산광역시,수영구,광안동,0,2650010400,2650010400006590008
부산광역시 수영구 광안동,135-3,0135,0003,하늘마루,전세,19.17,202603,"8,400",0,4,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001350003
부산광역시 수영구 광안동,165-22,0165,0022,두성아빌로스,월세,19.96,202603,500,41,3,2013,부산광역시,수영구,광안동,0,2650010400,2650010400001650022
부산광역시 연제구 연산동,410-29,0410,0029,금강블루빌,월세,16.54,202603,300,33,2,2012,부산광역시,연제구,연산동,0,2647010200,2647010200004100029
부산광역시 남구 대연동,1501-13,1501,0013,메타시티,월세,14.573,202603,500,63,2,2025,부산광역시,남구,대연동,0,2629010600,2629010600015010013
부산광역시 북구 덕천동,319-7,0319,0007,원시티,월세,15.4,202603,"1,000",30,2,2016,부산광역시,북구,덕천동,0,2632010400,2632010400003190007
부산광역시 사하구 하단동,595-17,0595,0017,블루원,월세,13.13,202603,"2,000",22,4,2013,부산광역시,사하구,하단동,0,2638010300,2638010300005950017
부산광역시 부산진구 개금동,616-7,0616,0007,라인힐스,전세,29.16,202603,"14,000",0,2,2022,부산광역시,부산진구,개금동,0,2623011100,2623011100006160007
부산광역시 중구 보수동3가,71-8,0071,0008,일강빌,월세,12.28,202603,300,30,5,2014,부산광역시,중구,보수동3가,0,2611012200,2611012200000710008
부산광역시 동래구 온천동,480-35,0480,0035,스파캐슬,월세,16.481,202603,300,30,3,2013,부산광역시,동래구,온천동,0,2626010800,2626010800004800035
부산광역시 사하구 괴정동,536-2,0536,0002,성심드림하우스,전세,28.96,202603,"8,400",0,2,2020,부산광역시,사하구,괴정동,0,2638010100,2638010100005360002
부산광역시 금정구 장전동,134-4,0134,0004,OliveZone,월세,18.04,202603,500,30,3,2013,부산광역시,금정구,장전동,0,2641010800,2641010800001340004
부산광역시 부산진구 개금동,177-279,0177,0279,펜트힐,월세,15.0675,202603,500,55,14,2023,부산광역시,부산진구,개금동,0,2623011100,2623011100001770279
부산광역시 사하구 장림동,332-19,0332,0019,파밀리아S,월세,20.1,202603,300,44,5,2013,부산광역시,사하구,장림동,0,2638010500,2638010500003320019
부산광역시 북구 구포동,982-39,0982,0039,센트빌II,월세,18.43,202603,"1,000",35,3,2013,부산광역시,북구,구포동,0,2632010500,2632010500009820039
부산광역시 해운대구 재송동,1071-23,1071,0023,첼리투스,월세,16.47,202603,500,47,6,2020,부산광역시,해운대구,재송동,0,2635010400,2635010400010710023
부산광역시 부산진구 개금동,616-5,0616,0005,해오름C동,월세,13.16,202603,"2,000",8,4,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100006160005
부산광역시 사하구 괴정동,775-4,0775,0004,(775-4),월세,28.74,202603,"1,500",34,4,2022,부산광역시,사하구,괴정동,0,2638010100,2638010100007750004
부산광역시 부산진구 가야동,58-6,0058,0006,해븐빌,월세,23.19,202603,"1,000",23,4,2012,부산광역시,부산진구,가야동,0,2623011000,2623011000000580006
부산광역시 해운대구 중동,1323-3,1323,0003,JS타운1,월세,18.2,202603,100,40,4,2012,부산광역시,해운대구,중동,0,2635010600,2635010600013230003
부산광역시 부산진구 양정동,114-2,0114,0002,로얄캐슬,월세,21.27,202603,500,30,4,2011,부산광역시,부산진구,양정동,0,2623010100,2623010100001140002
부산광역시 부산진구 양정동,313-13,0313,0013,프라디움,월세,15.67,202603,300,39,2,2017,부산광역시,부산진구,양정동,0,2623010100,2623010100003130013
부산광역시 부산진구 개금동,616-5,0616,0005,해오름C동,월세,14.7,202603,"1,000",14,3,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100006160005
부산광역시 남구 대연동,1464-7,1464,0007,더샵2,월세,14.1865,202603,"2,000",36,3,2021,부산광역시,남구,대연동,0,2629010600,2629010600014640007
부산광역시 남구 대연동,289-23,0289,0023,라임팰리스,월세,12.935,202603,"5,000",10,5,2021,부산광역시,남구,대연동,0,2629010600,2629010600002890023
부산광역시 북구 덕천동,314-1,0314,0001,파크오피스텔,월세,16.12,202603,100,35,2,2011,부산광역시,북구,덕천동,0,2632010400,2632010400003140001
부산광역시 북구 덕천동,315-19,0315,0019,(315-19),월세,17.46,202603,200,29,5,2012,부산광역시,북구,덕천동,0,2632010400,2632010400003150019
부산광역시 부산진구 범천동,841-296,0841,0296,화승빌,월세,12.81,202603,500,35,5,2013,부산광역시,부산진구,범천동,0,2623010400,2623010400008410296
부산광역시 연제구 거제동,500-51,0500,0051,수림하우스나동,월세,17.67,202603,"1,500",30,2,2019,부산광역시,연제구,거제동,0,2647010100,2647010100005000051
부산광역시 사하구 하단동,499-39,0499,0039,승아하우스(499-39),월세,29.1,202603,300,29,4,2002,부산광역시,사하구,하단동,0,2638010300,2638010300004990039
부산광역시 동래구 안락동,446-71,0446,0071,에덴하우스,전세,24.18,202603,"9,300",0,2,2022,부산광역시,동래구,안락동,0,2626010200,2626010200004460071
부산광역시 서구 동대신동3가,350-6,0350,0006,한울시너스,월세,12.52,202603,300,32,3,2011,부산광역시,서구,동대신동3가,0,2614010300,2614010300003500006
부산광역시 사상구 주례동,54-104,0054,0104,해랑,월세,15.9,202603,200,40,4,2012,부산광역시,사상구,주례동,0,2653010600,2653010600000540104
부산광역시 연제구 연산동,1320-16,1320,0016,골든뷰,월세,16.16,202603,500,30,3,2012,부산광역시,연제구,연산동,0,2647010200,2647010200013200016
부산광역시 수영구 민락동,146-18,0146,0018,리치빌,월세,16.43,202603,500,29,4,2010,부산광역시,수영구,민락동,0,2650010300,2650010300001460018
부산광역시 수영구 광안동,702-9,0702,0009,세영힐스테이,월세,16.34,202603,300,51,3,2020,부산광역시,수영구,광안동,0,2650010400,2650010400007020009
부산광역시 수영구 광안동,536-17,0536,0017,KDDomus,월세,27.15,202603,"12,000",5,2,2019,부산광역시,수영구,광안동,0,2650010400,2650010400005360017
부산광역시 수영구 광안동,131-24,0131,0024,한다더포레스트,전세,16.44,202603,"9,600",0,3,2021,부산광역시,수영구,광안동,0,2650010400,2650010400001310024
부산광역시 수영구 광안동,105-21,0105,0021,케이스카이월드,월세,22.84,202603,"2,800",48,2,2021,부산광역시,수영구,광안동,0,2650010400,2650010400001050021
부산광역시 기장군 기장읍 교리,351-17,0351,0017,더하우스기장점,월세,22.78,202603,300,31,4,2004,부산광역시,기장군,기장읍,0,2671025000,2671025000003510017
부산광역시 기장군 기장읍 청강리,80-7,0080,0007,가우디움2,월세,27.4198,202603,"1,000",55,5,2021,부산광역시,기장군,기장읍,0,2671025000,2671025000000800007
