시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동,산여부,법정동코드,PNU,경도,위도,좌표조회방식,좌표조회에러,보증금_정수,월세_정수,전용면적_정수,건축년도_정수,주변버스정류장수,주변CCTV수,score_deposit,score_monthly_rent,score_area,score_building_year,score_bus_access,score_cctv_safety,최적점수
부산광역시 중구 동광동5가,12-9,12,9,태양빌리지,월세,25.95,202603,500,20,3,2003,부산광역시,중구,동광동5가,0,2611011500,2611011500000120009,129.0334910490879,35.1077941177016,parcel_address,VWorld API error: NOT_FOUND,500.0,20.0,25.95,2003,41,150,0.9712230215827338,0.6923076923076923,0.8013823786446335,0.08333333333333333,0.5833333333333334,1.0,0.7194214674278753
부산광역시 남구 대연동,1758-18,1758,18,더존하우스,월세,27.88,202603,"8,500",13,4,2013,부산광역시,남구,대연동,0,2629010600,2629010600017580018,129.0875276085647,35.13536528996603,parcel_address,VWorld API error: NOT_FOUND,8500.0,13.0,27.88,2013,51,84,0.39568345323741005,0.8,0.9036042477688621,0.5,0.7916666666666666,0.5037593984962406,0.6839706106471533
부산광역시 중구 대청동4가,91-1,91,1,더휴,월세,20.7,202603,"1,000",28,5,2014,부산광역시,중구,대청동4가,0,2611011900,2611011900000910001,129.03062655180386,35.103800824629644,parcel_address,VWorld API error: NOT_FOUND,1000.0,28.0,20.7,2014,39,132,0.935251798561151,0.5692307692307692,0.5233177087471201,0.5416666666666666,0.5416666666666666,0.8646616541353384,0.6509967135000514
부산광역시 수영구 수영동,459-9,459,9,웰컴하우스,월세,26.765,202603,"5,000",4,4,2012,부산광역시,수영구,수영동,0,2650010200,2650010200004590009,129.1114098931252,35.17089904738187,parcel_address,VWorld API error: NOT_FOUND,5000.0,4.0,26.765,2012,29,87,0.6474820143884892,0.9384615384615385,0.8445486083525332,0.4583333333333333,0.3333333333333333,0.5263157894736842,0.6451716999421404
부산광역시 사하구 괴정동,775-4,775,4,(775-4),월세,28.74,202603,"1,500",34,4,2022,부산광역시,사하구,괴정동,0,2638010100,2638010100007750004,128.98816726905997,35.100331717210096,parcel_address,VWorld API error: NOT_FOUND,1500.0,34.0,28.74,2022,32,53,0.8992805755395683,0.4769230769230769,0.9491538889330261,0.875,0.3958333333333333,0.2706766917293233,0.627375649928221
부산광역시 사하구 괴정동,536-2,536,2,성심드림하우스,전세,28.96,202603,"8,400",0,2,2020,부산광역시,사하구,괴정동,0,2638010100,2638010100005360002,128.98796829292587,35.095802996193555,parcel_address,VWorld API error: NOT_FOUND,8400.0,0.0,28.96,2020,23,51,0.40287769784172667,1.0,0.960806122719208,0.7916666666666666,0.20833333333333334,0.2556390977443609,0.611772077215088
부산광역시 부산진구 개금동,616-7,616,7,라인힐스,전세,29.16,202603,"14,000",0,2,2022,부산광역시,부산진구,개금동,0,2623011100,2623011100006160007,129.01935840480638,35.14870378086694,parcel_address,VWorld API error: NOT_FOUND,14000.0,0.0,29.16,2022,42,25,0.0,1.0,0.9713990625248272,0.875,0.6041666666666666,0.06015037593984962,0.6116357022292763
부산광역시 해운대구 재송동,1073-18,1073,18,센텀스타빌,월세,29.7,202603,300,39,2,2012,부산광역시,해운대구,재송동,0,2635010400,2635010400010730018,129.12177074758438,35.18725858660762,parcel_address,VWorld API error: NOT_FOUND,300.0,39.0,29.7,2012,31,67,0.9856115107913669,0.4,1.0,0.4583333333333333,0.375,0.37593984962406013,0.6050660373956475
부산광역시 중구 대청동4가,82-21,82,21,대청포세이돈아크로,월세,15.16,202603,"8,000",17,12,2020,부산광역시,중구,대청동4가,0,2611011900,2611011900000820021,129.0290738221006,35.103603550148215,parcel_address,VWorld API error: NOT_FOUND,8000.0,17.0,15.16,2020,43,141,0.4316546762589928,0.7384615384615385,0.22989327613145843,0.7916666666666666,0.625,0.9323308270676691,0.6024354550842653
부산광역시 북구 덕천동,429-14,429,14,다원빌,월세,26.95,202603,500,37,3,2013,부산광역시,북구,덕천동,0,2632010400,2632010400004290014,129.0118509441279,35.20980996014752,parcel_address,VWorld API error: NOT_FOUND,500.0,37.0,26.95,2013,29,84,0.9712230215827338,0.4307692307692308,0.8543470776727311,0.5,0.3333333333333333,0.5037593984962406,0.5949372913669052
